time [d]	Qevap [W]	mdot [kg/s]
871	-486.5913	0.038803135
872	-174.68256	0.013930029
873	-96.70895	0.007712038
874	-68.77832	0.005484714
875	-67.98207	0.005421217
876	-40.83586	0.003256448
877	-33.43067	0.002665923
878	-15.4414	0.001231372
879	-37.10226	0.002958713
880	-113.3418	0.009038422
881	-196.89488	0.015701347
882	-150.38218	0.0119922
883	-154.82935	0.012346838
884	-133.87023	0.010675457
885	-100.50144	0.008014469
886	-83.70947	0.006675396
887	-149.1022	0.011890128
888	-190.99678	0.015231003
889	-172.90715	0.013788449
890	-35.54525	0.00283455
891	-12.23573	0.000975736
892	-17.02207	0.001357422
893	-14.88695	0.001187157
894	-10.15664	0.000809939
895	-3.96656	0.000316312
896	-5.64746	0.000450355
897	-19.34296	0.001542501
898	-31.88536	0.002542692
899	-21.40138	0.001706649
900	-3.24987	0.00025916
901	-3.26456	0.000260332
902	-4.25256	0.000339119
903	-1.3	0.000103668
904	-2.81931	0.000224826
905	-5.24056	0.000417907
906	-4.61526	0.000368043
907	-1.3	0.000103668
908	-11.40698	0.000909648
909	-17.12828	0.001365892
910	-11.21822	0.000894595
911	-16.41458	0.001308978
912	-13.81341	0.001101547
913	-6.53809	0.000521379
914	-4.25555	0.000339359
915	-15.52681	0.001238182
916	-25.65108	0.002045541
917	-23.40091	0.001866102
918	-33.7935	0.002694857
919	-25.95476	0.002069757
920	-9.09792	0.000725512
921	-2.6689	0.000212831
922	-1.3	0.000103668
923	-1.3	0.000103668
924	-1.3	0.000103668
925	-8.89447	0.000709288
926	-9.04189	0.000721044
927	-9.43995	0.000752787
928	-3.25871	0.000259865
929	-1.3	0.000103668
930	-1.3	0.000103668
931	-1.3	0.000103668
932	-1.3	0.000103668
933	-4.73616	0.000377684
934	-7.23112	0.000576645
935	-3.57136	0.000284798
936	-4.22903	0.000337243
937	-5.99547	0.000478108
938	-1.3	0.000103668
939	-1.3	0.000103668
940	-1.3	0.000103668
941	-1.99056	0.000158737
942	-3.20853	0.000255863
943	-6.99816	0.000558067
944	-5.81555	0.000463759
945	-7.11906	0.000567709
946	-11.30974	0.000901893
947	-10.64323	0.000848743
948	-8.14528	0.000649544
949	-2.73078	0.000217766
950	-1.3	0.000103668
951	-1.3	0.000103668
952	-1.3	0.000103668
953	-1.3	0.000103668
954	-1.3	0.000103668
955	-1.3	0.000103668
956	-1.3	0.000103668
957	-1.3	0.000103668
958	-1.40075	0.000111703
959	-1.3	0.000103668
960	-1.3	0.000103668
961	-5.47638	0.000436713
962	-3.51819	0.000280557
963	-18.78851	0.001498286
964	-8.04505	0.000641551
965	-5.75653	0.000459053
966	-3.69226	0.000294438
