Time [d]	Qevap [W]	mdot [kg/s]
1304	-0.0303819444661458	2.42083333333333E-06
1305	-2.55208333333333	0.0002035154296875
1306	-20.5078125	0.00163539173177083
1307	-33.0555555533854	0.00263600924479167
1308	-72.096354188151	0.005749310546875
1309	-59.9131944466146	0.00477776673177083
1310	-73.3420139108073	0.00584864544270833
1311	-116.514756920573	0.00929144791666667
1312	-109.6484375	0.00874389453125
1313	-83.9149305338542	0.00669178072916667
1314	-28.1336805533854	0.00224351516927083
1315	-0.789930555338542	6.29928385416667E-05
1316	-5.95486111132813	0.0004748693359375
1317	0	0
1318	0	0
1319	0	0
1320	-2.03559027799479	0.000162327799479167
1321	-3.09895833333333	0.000247125846354167
1322	0	0
1323	-14.4314236132812	0.00115083125
1324	-5.16493055533854	0.000411876432291667
1325	-2.55208333333333	0.0002035154296875
1326	-56.4192708333333	0.00449914440104167
1327	-36.2456597265625	0.00289040345052083
1328	-193.563368033854	0.0154356752604167
1329	-82.8819444661458	0.00660940540364583
1330	-59.3055555533854	0.00472931067708333
1331	-38.0381944466146	0.003033348828125
1332	-97.3133680338542	0.00776023665364583
1333	-162.361111113281	0.01294745703125
1334	-137.782118079427	0.010987409765625
1335	-170.807291666667	0.0136209961588542
1336	-307.0703125	0.0244872657552083
1337	-450.989583292122	0.0359640795572917
1338	-593.085937541667	0.0472955293619792
1339	-584.578993055534	0.0466171322916667
1340	-371.206597246094	0.0296018020182292
1341	-281.610243098958	0.0224569572265625
1342	-272.191840299479	0.0217058884114583
1343	-332.712673613281	0.0265321110677083
1344	-265.720486132813	0.0211898314453125
1345	-219.084201367188	0.0174708294921875
1346	-168.619791647135	0.0134465543619792
1347	-248.129340299479	0.0197870287109375
1348	-299.930555533854	0.0239179071614583
1349	-363.216145831185	0.0289646049479167
1350	-509.596354168815	0.0406376555338542
1351	-441.996527797331	0.0352469320963542
1352	-569.144965343099	0.0453863609375
1353	-1150.89843753516	0.0917781848307292
1354	-778.051215240625	0.0620455268880208
1355	-1287.79947910156	0.102695333398438
1356	-1190.94184029753	0.0949714386067708
1357	-1333.58506941667	0.106346496744792
1358	-2658.26822921224	0.211983112239583
1359	-4474.5008683138	0.356818251041667
